Method,Om_mean,Om_std,H0_mean,H0_std,Time_s,nqpp,chi2,n_data,chi2_red,AIC,BIC,acceptance,final_KL,ESS,dataset,prior
CGA,0.257479,0.000727,70.731449,0.118548,0.0,—,27.4691,51,0.5606,31.4691,35.3328,,,43.1,CC+BAO,flat
QGA (q=0%),0.257479,0.000727,70.731449,0.118548,0.0,4,27.4691,51,0.5606,31.4691,35.3328,,,43.1,CC+BAO,flat
QGA (q=33%),0.257266,0.001964,70.718571,0.113211,0.0,4,27.4691,51,0.5606,31.4691,35.3328,,,49.7,CC+BAO,flat
QGA (q=67%),0.270002,0.000177,70.312499,0.001666,0.4,4,27.4691,51,0.5606,31.4691,35.3328,,,49.0,CC+BAO,flat
QGA (q=100%),0.270000,0.000001,70.303470,0.111079,2.8,4,27.4691,51,0.5606,31.4691,35.3328,,,49.6,CC+BAO,flat
