Method,Om_mean,Om_std,H0_mean,H0_std,Time_s,nqpp,chi2,n_data,chi2_red,AIC,BIC,acceptance,final_KL,ESS,dataset,prior
Classical MCMC,0.255337,0.017189,70.882899,1.179829,0.7,—,27.4691,51,0.5606,31.4691,35.3328,0.5006,,66.0,CC+BAO,flat
QMCMC 50%,0.259340,0.016633,70.613376,1.116002,7.6,3,27.4691,51,0.5606,31.4691,35.3328,0.5291,,134.7,CC+BAO,flat
QMCMC 100%,0.261236,0.018193,70.521657,1.208747,9.4,3,27.4691,51,0.5606,31.4691,35.3328,0.5294,,100.5,CC+BAO,flat
Classical VI,0.258864,0.043985,71.185206,2.797886,0.5,—,27.4691,51,0.5606,31.4691,35.3328,,12.511461,3072.0,CC+BAO,flat
QVMC 33%,0.258498,0.043660,71.225079,2.807794,0.5,3,27.4691,51,0.5606,31.4691,35.3328,,12.511461,99.6,CC+BAO,flat
QVMC 67%,0.261291,0.045325,70.672485,2.904566,18.1,3,27.4691,51,0.5606,31.4691,35.3328,,10.473291,96.8,CC+BAO,flat
QVMC 100%,0.261291,0.045325,70.672485,2.904566,18.2,3,27.4691,51,0.5606,31.4691,35.3328,,10.473291,96.8,CC+BAO,flat
