Method,Om_mean,Om_std,H0_mean,H0_std,Time_s,nqpp,chi2,n_data,chi2_red,AIC,BIC,acceptance,final_KL,ESS,dataset,prior
CGA,0.257479,0.000727,70.731449,0.118548,0.0,—,27.4691,51,0.5606,31.4691,35.3328,,,43.1,CC+BAO,flat
QGA (q=0%),0.257479,0.000727,70.731449,0.118548,0.0,4,27.4691,51,0.5606,31.4691,35.3328,,,43.1,CC+BAO,flat
QGA (q=33%),0.257015,0.001966,70.737514,0.113661,0.1,4,27.4691,51,0.5606,31.4691,35.3328,,,49.7,CC+BAO,flat
QGA (q=67%),0.270002,0.000182,70.302888,0.114565,0.5,4,27.4691,51,0.5606,31.4691,35.3328,,,46.6,CC+BAO,flat
QGA (q=100%),0.270009,0.000414,70.287528,0.183621,20.1,4,27.4691,51,0.5606,31.4691,35.3328,,,36.2,CC+BAO,flat
